year,city_temp,global_temp
1808,17.11,7.63
1809,19.87,7.08
1810,19.93,6.92
1811,20.00,6.86
1812,19.93,7.05
1813,20.51,7.74
1814,20.43,7.59
1815,20.30,7.24
1816,20.51,6.94
1817,21.88,6.98
1818,11.60,7.83
1819,20.31,7.37
1820,20.58,7.62
1821,20.63,8.09
1822,20.72,8.19
1823,20.71,7.72
1824,21.44,8.55
1825,21.00,8.39
1826,20.94,8.36
1827,21.63,8.81
1828,20.99,8.17
1829,20.91,7.94
1830,21.25,8.52
1831,20.52,7.64
1832,20.20,7.45
1833,20.81,8.01
1834,20.69,8.15
1835,20.17,7.39
1836,20.59,7.70
1837,20.27,7.38
1838,20.21,7.51
1839,20.43,7.63
1840,20.56,7.80
1841,20.91,7.69
1842,20.92,8.02
1843,20.83,8.17
1844,20.66,7.65
1845,20.90,7.85
1846,21.57,8.55
1847,21.10,8.09
1848,20.89,7.98
1849,20.90,7.98
1850,20.39,7.90
1851,21.11,8.18
1852,21.04,8.10
1853,21.53,8.04
1854,20.74,8.21
1855,21.04,8.11
1856,20.49,8.00
1857,20.29,7.76
1858,20.90,8.10
1859,20.98,8.25
1860,21.33,7.96
1861,20.21,7.85
1862,20.22,7.56
1863,20.60,8.11
1864,21.25,7.98
1865,21.55,8.18
1866,21.35,8.29
1867,21.45,8.44
1868,20.94,8.25
1869,21.41,8.43
1870,21.30,8.20
1871,20.87,8.12
1872,21.14,8.19
1873,21.40,8.35
1874,20.77,8.43
1875,19.99,7.86
1876,21.05,8.08
1877,21.39,8.54
1878,21.54,8.83
1879,21.49,8.17
1880,21.20,8.12
1881,21.56,8.27
1882,20.38,8.13
1883,20.65,7.98
1884,20.23,7.77
1885,20.91,7.92
1886,20.55,7.95
1887,21.21,7.91
1888,21.04,8.09
1889,21.05,8.32
1890,21.09,7.97
1891,21.13,8.02
1892,21.39,8.07
1893,20.57,8.06
1894,20.95,8.16
1895,20.97,8.15
1896,21.17,8.21
1897,20.82,8.29
1898,20.92,8.18
1899,21.04,8.40
1900,21.57,8.50
1901,21.89,8.54
1902,21.36,8.30
1903,20.39,8.22
1904,20.61,8.09
1905,21.03,8.23
1906,21.24,8.38
1907,20.45,7.95
1908,20.37,8.19
1909,21.40,8.18
1910,20.65,8.22
1911,20.78,8.18
1912,20.79,8.17
1913,20.40,8.30
1914,20.96,8.59
1915,21.57,8.59
1916,21.73,8.23
1917,21.12,8.02
1918,21.43,8.13
1919,21.43,8.38
1920,20.72,8.36
1921,20.73,8.57
1922,21.39,8.41
1923,21.39,8.42
1924,21.61,8.51
1925,21.37,8.53
1926,21.22,8.73
1927,21.76,8.52
1928,21.72,8.63
1929,21.07,8.24
1930,21.73,8.63
1931,21.60,8.72
1932,21.43,8.71
1933,21.24,8.34
1934,21.52,8.63
1935,21.61,8.52
1936,22.00,8.55
1937,21.82,8.70
1938,20.92,8.86
1939,21.85,8.76
1940,21.59,8.76
1941,21.76,8.77
1942,21.59,8.73
1943,21.35,8.76
1944,21.40,8.85
1945,20.83,8.58
1946,21.76,8.68
1947,21.94,8.80
1948,20.88,8.75
1949,20.68,8.59
1950,21.53,8.37
1951,21.82,8.63
1952,21.92,8.64
1953,21.17,8.87
1954,21.45,8.56
1955,22.10,8.63
1956,21.48,8.28
1957,21.49,8.73
1958,21.85,8.77
1959,20.98,8.73
1960,22.30,8.58
1961,21.14,8.80
1962,22.11,8.75
1963,22.09,8.86
1964,21.07,8.41
1965,21.52,8.53
1966,22.10,8.60
1967,20.92,8.70
1968,21.48,8.52
1969,21.88,8.60
1970,21.53,8.70
1971,21.41,8.60
1972,21.57,8.50
1973,21.42,8.95
1974,21.55,8.47
1975,21.35,8.74
1976,21.28,8.35
1977,21.57,8.85
1978,21.67,8.69
1979,22.06,8.73
1980,21.52,8.98
1981,21.42,9.17
1982,21.04,8.64
1983,20.75,9.03
1984,21.32,8.69
1985,21.72,8.66
1986,21.52,8.83
1987,21.24,8.99
1988,21.65,9.20
1989,21.43,8.92
1990,21.60,9.23
1991,21.65,9.18
1992,21.11,8.84
1993,21.79,8.87
1994,22.02,9.04
1995,21.56,9.35
1996,21.88,9.04
1997,21.45,9.20
1998,22.36,9.52
1999,22.28,9.29
2000,21.49,9.20
2001,22.33,9.41
2002,22.41,9.57
2003,22.17,9.53
2004,22.08,9.32
2005,22.01,9.70
2006,22.05,9.53
2007,22.36,9.73
2008,22.64,9.43
2009,22.63,9.51
2010,23.72,9.70
2011,21.99,9.52
2012,22.48,9.51
2013,22.91,9.61
